t_s,q_rad,v_rad_s,torque_nm
0.21,0.04423814771759943,0.40733956503226854,2.0
0.215,0.04632179049602303,0.4167285556847201,2.0
0.22,0.048452307810279,0.42610346285119305,2.0
0.225,0.050629629348563576,0.43546430765691624,2.0
0.23,0.05285368490454073,0.4448111111954309,2.0
0.23500000000000001,0.05512440437718392,0.45414389452863774,2.0
0.24,0.05744171777061814,0.46346267868684476,2.0
0.245,0.05980555519396222,0.4727674846688145,2.0
0.25,0.06221584686117127,0.4820583334418113,2.0
0.255,0.06467252309087951,0.4913352459416486,2.0
0.26,0.06717551430624319,0.5005982430727361,2.0
0.265,0.06972475103478383,0.5098473457081271,2.0
0.27,0.07232016390823165,0.5190825746895649,2.0
0.275,0.0749616836623693,0.5283039508275306,2.0
0.28,0.07764924113687574,0.5375114949012892,2.0
0.28500000000000003,0.08038276727517042,0.5467052276589374,2.0
0.29,0.08316219312425767,0.555885169817449,2.0
0.295,0.08598744983457128,0.5650513420627228,2.0
0.3,0.08885846865981942,0.5742037650496287,2.0
0.305,0.09177518095682968,0.5833424594020542,2.0
0.31,0.09473751818539444,0.5924674457129511,2.0
0.315,0.09774541190811635,0.6015787445443816,2.0
0.32,0.10079879379025418,0.6106763764275651,2.0
0.325,0.10389759559956879,0.6197603618629237,2.0
0.33,0.10704174920616943,0.6288307213201293,2.0
0.335,0.11023118658236018,0.6378874752381491,2.0
0.34,0.11346583980248665,0.6469306440252919,2.0
0.34500000000000003,0.11674564104278291,0.6559602480592539,2.0
0.35000000000000003,0.12007052258121874,0.664976307687165,2.0
0.355,0.12344041679734691,0.6739788432256343,2.0
0.36,0.12685525617215088,0.6829678749607958,2.0
0.365,0.13031497328789265,0.6919434231483547,2.0
0.37,0.13381950082796082,0.7009055080136322,2.0
0.375,0.13736877157671887,0.7098541497516118,2.0
0.38,0.1409627184193538,0.7187893685269844,2.0
0.385,0.14460127434172476,0.7277111844741939,2.0
0.39,0.14828437243021217,0.7366196176974826,2.0
0.395,0.15201194587156686,0.7455146882709364,2.0
0.4,0.1557839279527595,0.7543964162385299,2.0
0.405,0.15960025206083037,0.7632648216141721,2.0
0.41000000000000003,0.16346085168273913,0.7721199243817508,2.0
0.41500000000000004,0.16736566040521503,0.7809617444951782,2.0
0.42,0.1713146119146072,0.7897903018784355,2.0
0.425,0.1753076399967353,0.7986056164256178,2.0
0.43,0.1793446785367402,0.8074077080009794,2.0
0.435,0.18342566151893508,0.8161965964389779,2.0
0.44,0.18755052302665667,0.8249723015443194,2.0
0.445,0.1917191972421167,0.833734843092003,2.0
0.45,0.1959316184462535,0.842484240827365,2.0
0.455,0.20018772101858412,0.8512205144661239,2.0
0.46,0.20448743943705625,0.8599436836944248,2.0
0.465,0.20883070827790065,0.8686537681688831,2.0
0.47000000000000003,0.2132174622154838,0.8773507875166298,2.0
0.47500000000000003,0.21764763602216056,0.8860347613353549,2.0
0.48,0.2221211645681273,0.8947057091933518,2.0
0.485,0.22663798282127512,0.9033636506295618,2.0
0.49,0.23119802584704321,0.9120086051536175,2.0
0.495,0.23580122880827264,0.920640592245887,2.0
0.5,0.24044752696506025,0.9292596313575182,2.0
0.505,0.24513685567461266,0.9378657419104819,2.0
0.51,0.24986915039110075,0.9464589432976162,2.0
0.515,0.2546443466655141,0.9550392548826697,2.0
0.52,0.2594623801455158,0.9636066960003458,2.0
0.525,0.2643231865752975,0.9721612859563452,2.0
0.53,0.26922670179543456,0.9807030440274107,2.0
0.535,0.2741728617427414,0.9892319894613696,2.0
0.54,0.2791616024501273,0.9977481414771775,2.0
0.545,0.2841928600464521,1.0062515192649617,2.0
0.55,0.28926657075638246,1.0147421419860643,2.0
0.555,0.2943826709002479,1.0232200287730853,2.0
0.56,0.2995410968938975,1.0316851987299256,2.0
0.5650000000000001,0.30474178524855666,1.0401376709318306,2.0
0.5700000000000001,0.30998467257068385,1.0485774644254329,2.0
0.5750000000000001,0.3152696955618278,1.0570045982287948,2.0
0.58,0.3205967910184851,1.0654190913314516,2.0
0.585,0.32596589583195734,1.0738209626944544,2.0
0.59,0.3313769469882094,1.0822102312504127,2.0
0.595,0.3368298815677271,1.090586915903537,2.0
0.6,0.3423246367453755,1.0989510355296819,2.0
0.605,0.34786114979025745,1.1073026089763873,2.0
0.61,0.3534393580655721,1.1156416550629227,2.0
0.615,0.3590591990284737,1.1239681925803282,2.0
0.62,0.364720610229931,1.1322822402914576,2.0
0.625,0.3704235293145861,1.1405838169310205,2.0
0.63,0.37616789402061424,1.148872941205624,2.0
0.635,0.38195364217958333,1.1571496317938155,2.0
0.64,0.38778071171631395,1.1654139073461247,2.0
0.645,0.39364904064873946,1.1736657864851054,2.0
0.65,0.3995585670877663,1.1819052878053777,2.0
0.655,0.40550922923713467,1.1901324298736697,2.0
0.66,0.41150096539327896,1.1983472312288592,2.0
0.665,0.41753371394518907,1.206549710382016,2.0
0.67,0.42360741337427127,1.2147398858164429,1.9453699228455168
0.675,0.429720636502281,1.2226446256019459,1.8115355013542978
0.68,0.43586997818313256,1.2298683361703144,1.6810863714867992
0.685,0.44205212301075003,1.236428965523493,1.5539672356656329
0.6900000000000001,0.4482638438020177,1.242344158253536,1.4301232697490516
0.6950000000000001,0.45450200009384223,1.247631258364901,1.309500128409793
0.7000000000000001,0.46076353665443925,1.2523073121194026,1.1920439501801408
0.705,0.46704548200894985,1.2563890709021241,1.0777013621714646
